class_name,BranchCoverageGoals-smart selection,BranchCoverageGoals-constituent criterion,BranchCoverage-smart selection,BranchCoverage-constituent criterion,WeakMutationCoverageGoals-smart selection,WeakMutationCoverageGoals-constituent criterion,WeakMutationCoverage-smart selection,WeakMutationCoverage-constituent criterion,LineCoverageGoals-smart selection,LineCoverageGoals-constituent criterion,LineCoverage-smart selection,LineCoverage-constituent criterion,MethodCoverageGoals-smart selection,MethodCoverageGoals-constituent criterion,MethodCoverage-smart selection,MethodCoverage-constituent criterion,MethodNoExceptionCoverageGoals-smart selection,MethodNoExceptionCoverageGoals-constituent criterion,MethodNoExceptionCoverage-smart selection,MethodNoExceptionCoverage-constituent criterion,CBranchCoverageGoals-smart selection,CBranchCoverageGoals-constituent criterion,CBranchCoverage-smart selection,CBranchCoverage-constituent criterion,ExceptionCoverageGoals-smart selection,ExceptionCoverageGoals-constituent criterion,ExceptionCoverage-smart selection,ExceptionCoverage-constituent criterion,OutputCoverageGoals-smart selection,OutputCoverageGoals-constituent criterion,OutputCoverage-smart selection,OutputCoverage-constituent criterion,Total_Covered_Goals-smart selection,Total_Covered_Goals-constituent criterion,Size-smart selection,Size-constituent criterion,Length-smart selection,Length-constituent criterion,BranchCoverage-p-constituent criterion-smart selection,BranchCoverage-p-smart selection-constituent criterion,BranchCoverage-s-constituent criterion-smart selection,BranchCoverage-s-smart selection-constituent criterion,BranchCoverageGoals-p-constituent criterion-smart selection,BranchCoverageGoals-p-smart selection-constituent criterion,BranchCoverageGoals-s-constituent criterion-smart selection,BranchCoverageGoals-s-smart selection-constituent criterion,CBranchCoverage-p-constituent criterion-smart selection,CBranchCoverage-p-smart selection-constituent criterion,CBranchCoverage-s-constituent criterion-smart selection,CBranchCoverage-s-smart selection-constituent criterion,CBranchCoverageGoals-p-constituent criterion-smart selection,CBranchCoverageGoals-p-smart selection-constituent criterion,CBranchCoverageGoals-s-constituent criterion-smart selection,CBranchCoverageGoals-s-smart selection-constituent criterion,ExceptionCoverage-p-constituent criterion-smart selection,ExceptionCoverage-p-smart selection-constituent criterion,ExceptionCoverage-s-constituent criterion-smart selection,ExceptionCoverage-s-smart selection-constituent criterion,ExceptionCoverageGoals-p-constituent criterion-smart selection,ExceptionCoverageGoals-p-smart selection-constituent criterion,ExceptionCoverageGoals-s-constituent criterion-smart selection,ExceptionCoverageGoals-s-smart selection-constituent criterion,Length-p-constituent criterion-smart selection,Length-p-smart selection-constituent criterion,Length-s-constituent criterion-smart selection,Length-s-smart selection-constituent criterion,LineCoverage-p-constituent criterion-smart selection,LineCoverage-p-smart selection-constituent criterion,LineCoverage-s-constituent criterion-smart selection,LineCoverage-s-smart selection-constituent criterion,LineCoverageGoals-p-constituent criterion-smart selection,LineCoverageGoals-p-smart selection-constituent criterion,LineCoverageGoals-s-constituent criterion-smart selection,LineCoverageGoals-s-smart selection-constituent criterion,MethodCoverage-p-constituent criterion-smart selection,MethodCoverage-p-smart selection-constituent criterion,MethodCoverage-s-constituent criterion-smart selection,MethodCoverage-s-smart selection-constituent criterion,MethodCoverageGoals-p-constituent criterion-smart selection,MethodCoverageGoals-p-smart selection-constituent criterion,MethodCoverageGoals-s-constituent criterion-smart selection,MethodCoverageGoals-s-smart selection-constituent criterion,MethodNoExceptionCoverage-p-constituent criterion-smart selection,MethodNoExceptionCoverage-p-smart selection-constituent criterion,MethodNoExceptionCoverage-s-constituent criterion-smart selection,MethodNoExceptionCoverage-s-smart selection-constituent criterion,MethodNoExceptionCoverageGoals-p-constituent criterion-smart selection,MethodNoExceptionCoverageGoals-p-smart selection-constituent criterion,MethodNoExceptionCoverageGoals-s-constituent criterion-smart selection,MethodNoExceptionCoverageGoals-s-smart selection-constituent criterion,OutputCoverage-p-constituent criterion-smart selection,OutputCoverage-p-smart selection-constituent criterion,OutputCoverage-s-constituent criterion-smart selection,OutputCoverage-s-smart selection-constituent criterion,OutputCoverageGoals-p-constituent criterion-smart selection,OutputCoverageGoals-p-smart selection-constituent criterion,OutputCoverageGoals-s-constituent criterion-smart selection,OutputCoverageGoals-s-smart selection-constituent criterion,Size-p-constituent criterion-smart selection,Size-p-smart selection-constituent criterion,Size-s-constituent criterion-smart selection,Size-s-smart selection-constituent criterion,Total_Covered_Goals-p-constituent criterion-smart selection,Total_Covered_Goals-p-smart selection-constituent criterion,Total_Covered_Goals-s-constituent criterion-smart selection,Total_Covered_Goals-s-smart selection-constituent criterion,WeakMutationCoverage-p-constituent criterion-smart selection,WeakMutationCoverage-p-smart selection-constituent criterion,WeakMutationCoverage-s-constituent criterion-smart selection,WeakMutationCoverage-s-smart selection-constituent criterion,WeakMutationCoverageGoals-p-constituent criterion-smart selection,WeakMutationCoverageGoals-p-smart selection-constituent criterion,WeakMutationCoverageGoals-s-constituent criterion-smart selection,WeakMutationCoverageGoals-s-smart selection-constituent criterion,class
org_apache_hadoop_thirdparty_com_google_common_collect_Cut,29.0,28.566666666666666,0.2788461538461539,0.2746794871794872,44.0,44.0,0.3577235772357723,0.3577235772357723,34.0,33.96666666666667,0.3148148148148148,0.31450617283950616,8.0,8.0,0.14814814814814808,0.14814814814814808,8.0,8.0,0.14814814814814808,0.14814814814814808,27.0,26.633333333333333,0.25961538461538475,0.2560897435897437,5.0,5.0,0.8333333333333331,0.8333333333333331,10.0,10.0,0.5882352941176471,0.5882352941176471,165.0,164.16666666666666,20.033333333333335,14.2,64.13333333333334,47.46666666666667,0.2833333333333333,0.7166666666666667,0.0,1.0,0.2833333333333333,0.7166666666666667,0.0,1.0,0.31666666666666665,0.6833333333333333,0.0,1.0,0.31666666666666665,0.6833333333333333,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.16666666666666666,0.8333333333333334,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,org.apache.hadoop.thirdparty.com.google.common.collect.Cut
org_apache_hadoop_yarn_server_resourcemanager_scheduler_QueueMetrics,20.533333333333335,16.766666666666666,0.07129629629629627,0.05821759259259258,105.9,100.0,0.21095617529880473,0.19920318725099595,55.86666666666667,48.0,0.11040843214756256,0.09486166007905135,10.133333333333333,7.933333333333334,0.11014492753623187,0.08623188405797101,6.6,5.0,0.0717391304347826,0.05434782608695653,20.266666666666666,20.833333333333332,0.07037037037037036,0.07233796296296295,12.4,11.2,0.9051292577154648,0.8667423687423688,8.533333333333333,5.0,0.02994152046783627,0.01754385964912281,240.23333333333332,214.73333333333332,19.1,6.566666666666666,54.96666666666667,10.133333333333333,0.47055555555555556,0.5294444444444445,0.0,0.0,0.47055555555555556,0.5294444444444445,0.0,0.0,0.42,0.58,0.0,0.0,0.42,0.58,0.0,0.0,0.5483333333333333,0.45166666666666666,0.0,0.0,0.5633333333333334,0.43666666666666665,0.0,0.0,0.0,1.0,0.0,1.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.45111111111111113,0.5488888888888889,0.0,0.0,0.45111111111111113,0.5488888888888889,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.0,1.0,0.0,1.0,0.42777777777777776,0.5722222222222222,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,org.apache.hadoop.yarn.server.resourcemanager.scheduler.QueueMetrics
org_apache_hadoop_yarn_server_nodemanager_containermanager_localizer_LocalResourceRequest,58.0,57.96666666666667,1.0,0.9994252873563219,112.53333333333333,115.0,0.9701149425287359,0.991379310344828,70.0,70.0,1.0,1.0,21.0,21.0,1.0,1.0,13.0,12.966666666666667,0.6190476190476192,0.6174603174603176,58.0,58.0,1.0,1.0,14.766666666666667,14.2,0.8819035947712418,0.8886122782446312,18.666666666666668,19.2,0.6913580246913579,0.7111111111111108,365.96666666666664,368.3333333333333,48.43333333333333,28.766666666666666,286.26666666666665,195.9,0.48333333333333334,0.5166666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.49166666666666664,0.5083333333333333,0.0,0.0,0.2677777777777778,0.7322222222222222,0.0,1.0,0.03333333333333333,0.9666666666666667,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.6922222222222222,0.30777777777777776,1.0,0.0,0.6922222222222222,0.30777777777777776,1.0,0.0,0.0,1.0,0.0,1.0,0.8511111111111112,0.14888888888888888,1.0,0.0,0.9666666666666667,0.03333333333333333,1.0,0.0,0.9666666666666667,0.03333333333333333,1.0,0.0,org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.LocalResourceRequest
org_apache_hadoop_yarn_server_resourcemanager_RMAppManager,13.7,14.366666666666667,0.07098445595854923,0.07443868739205527,55.36666666666667,52.43333333333333,0.13570261437908496,0.12851307189542485,49.0,48.733333333333334,0.10515021459227468,0.10457796852646638,3.3,3.066666666666667,0.6833333333333333,0.9481481481481481,2.0,2.0,0.6666666666666669,0.6666666666666669,13.333333333333334,14.066666666666666,0.06908462867012091,0.07288428324697754,1.0,1.9666666666666666,0.17833333333333332,0.33404761904761904,0.0,0.0,0.0,0.0,137.7,136.63333333333333,8.3,7.3,21.2,20.266666666666666,0.6066666666666667,0.3933333333333333,0.0,0.0,0.6066666666666667,0.3933333333333333,0.0,0.0,0.6138888888888889,0.3861111111111111,0.0,0.0,0.6138888888888889,0.3861111111111111,0.0,0.0,0.685,0.315,1.0,0.0,0.685,0.315,1.0,0.0,0.4083333333333333,0.5916666666666667,0.0,0.0,0.5361111111111111,0.4638888888888889,0.0,0.0,0.5361111111111111,0.4638888888888889,0.0,0.0,0.67,0.33,1.0,0.0,0.38333333333333336,0.6166666666666667,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.29055555555555557,0.7094444444444444,0.0,1.0,0.5783333333333334,0.4216666666666667,0.0,0.0,0.4777777777777778,0.5222222222222223,0.0,0.0,0.4777777777777778,0.5222222222222223,0.0,0.0,org.apache.hadoop.yarn.server.resourcemanager.RMAppManager
org_apache_hadoop_ha_ZKFailoverController,17.0,17.0,0.10897435897435899,0.10897435897435899,40.0,42.0,0.06920415224913495,0.0726643598615917,49.9,50.0,0.12601010101010102,0.12626262626262627,11.0,11.0,1.0,1.0,7.0,7.0,0.6363636363636365,0.6363636363636365,16.0,16.0,0.10256410256410259,0.10256410256410259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.9,143.0,8.0,8.0,27.6,28.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.65,0.35,1.0,0.0,0.55,0.45,0.0,0.0,0.55,0.45,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,org.apache.hadoop.ha.ZKFailoverController
org_apache_hadoop_yarn_api_protocolrecords_impl_pb_IncreaseContainersResourceResponsePBImpl,46.166666666666664,45.166666666666664,0.8549382716049382,0.8364197530864195,33.0,33.0,1.0,1.0,95.9,96.3,0.9047169811320754,0.9084905660377359,10.0,10.0,1.0,1.0,10.0,10.0,1.0,1.0,46.13333333333333,45.666666666666664,0.8543209876543209,0.8456790123456789,12.366666666666667,11.5,0.9249000999000997,0.9196248196248198,14.466666666666667,14.633333333333333,0.6027777777777777,0.6097222222222223,268.03333333333336,266.26666666666665,26.733333333333334,13.166666666666666,109.5,46.93333333333333,0.32944444444444443,0.6705555555555556,0.0,1.0,0.32944444444444443,0.6705555555555556,0.0,1.0,0.3827777777777778,0.6172222222222222,0.0,0.0,0.3827777777777778,0.6172222222222222,0.0,0.0,0.23333333333333334,0.7666666666666667,0.0,1.0,0.23333333333333334,0.7666666666666667,0.0,1.0,0.0,1.0,0.0,1.0,0.5316666666666666,0.4683333333333333,0.0,0.0,0.5316666666666666,0.4683333333333333,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5616666666666666,0.43833333333333335,0.0,0.0,0.5616666666666666,0.43833333333333335,0.0,0.0,0.0,1.0,0.0,1.0,0.3622222222222222,0.6377777777777778,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,org.apache.hadoop.yarn.api.protocolrecords.impl.pb.IncreaseContainersResourceResponsePBImpl
org_apache_hadoop_yarn_server_resourcemanager_nodelabels_RMNodeLabelsManager,36.266666666666666,36.06666666666667,0.22525879917184263,0.22401656314699794,80.9,79.33333333333333,0.24664634146341463,0.24186991869918698,106.93333333333334,106.0,0.3765258215962441,0.37323943661971826,19.433333333333334,21.0,0.9253968253968254,1.0,8.766666666666667,8.4,0.41746031746031753,0.40000000000000013,36.266666666666666,36.13333333333333,0.22525879917184263,0.22443064182194614,20.766666666666666,20.666666666666668,0.9510307636680634,0.9508245085705038,5.766666666666667,5.8,0.2507246376811595,0.2521739130434783,315.1,313.4,32.4,20.6,105.93333333333334,51.36666666666667,0.48833333333333334,0.5116666666666667,0.0,0.0,0.48833333333333334,0.5116666666666667,0.0,0.0,0.5022222222222222,0.49777777777777776,0.0,0.0,0.5022222222222222,0.49777777777777776,0.0,0.0,0.5011111111111111,0.4988888888888889,0.0,0.0,0.48388888888888887,0.5161111111111111,0.0,0.0,0.0,1.0,0.0,1.0,0.39611111111111114,0.6038888888888889,0.0,0.0,0.39611111111111114,0.6038888888888889,0.0,0.0,0.95,0.05,1.0,0.0,0.95,0.05,1.0,0.0,0.31666666666666665,0.6833333333333333,0.0,1.0,0.31666666666666665,0.6833333333333333,0.0,1.0,0.5127777777777778,0.4872222222222222,0.0,0.0,0.5127777777777778,0.4872222222222222,0.0,0.0,0.0,1.0,0.0,1.0,0.3927777777777778,0.6072222222222222,0.0,0.0,0.3422222222222222,0.6577777777777778,0.0,1.0,0.3422222222222222,0.6577777777777778,0.0,1.0,org.apache.hadoop.yarn.server.resourcemanager.nodelabels.RMNodeLabelsManager
org_apache_hadoop_io_WritableUtils,73.93333333333334,81.26666666666667,0.7544217687074831,0.8292517006802722,629.6333333333333,639.8333333333334,0.7831260364842455,0.7958126036484245,132.73333333333332,143.53333333333333,0.7948103792415169,0.8594810379241516,27.833333333333332,28.0,0.9940476190476191,1.0,20.566666666666666,18.6,0.7345238095238097,0.6642857142857143,68.7,78.2,0.7010204081632653,0.7979591836734695,54.06666666666667,53.43333333333333,0.9781410109019049,0.9803839754493571,15.833333333333334,19.066666666666666,0.3298611111111111,0.3972222222222222,1023.3,1061.9333333333334,95.3,30.833333333333332,522.5,107.43333333333334,0.7555555555555555,0.24444444444444444,1.0,0.0,0.7555555555555555,0.24444444444444444,1.0,0.0,0.7772222222222223,0.22277777777777777,1.0,0.0,0.7772222222222223,0.22277777777777777,1.0,0.0,0.5088888888888888,0.4911111111111111,0.0,0.0,0.4022222222222222,0.5977777777777777,0.0,0.0,0.0011111111111111111,0.9988888888888889,0.0,1.0,0.7377777777777778,0.26222222222222225,1.0,0.0,0.7377777777777778,0.26222222222222225,1.0,0.0,0.5833333333333334,0.4166666666666667,1.0,0.0,0.5833333333333334,0.4166666666666667,1.0,0.0,0.2816666666666667,0.7183333333333334,0.0,1.0,0.2816666666666667,0.7183333333333334,0.0,1.0,0.6977777777777778,0.3022222222222222,1.0,0.0,0.6977777777777778,0.3022222222222222,1.0,0.0,0.0,1.0,0.0,1.0,0.5883333333333334,0.4116666666666667,0.0,0.0,0.5311111111111111,0.4688888888888889,0.0,0.0,0.5311111111111111,0.4688888888888889,0.0,0.0,org.apache.hadoop.io.WritableUtils
org_apache_hadoop_mapred_LineRecordReader,26.7,27.2,0.4603448275862068,0.4689655172413793,185.46666666666667,199.33333333333334,0.7051964512040558,0.7579214195183777,67.83333333333333,69.7,0.5700280112044819,0.5857142857142857,12.0,12.0,1.0,1.0,10.0,10.0,0.8333333333333333,0.8333333333333331,25.633333333333333,26.033333333333335,0.44195402298850567,0.4488505747126436,15.133333333333333,14.933333333333334,0.9330550976869458,0.9368407743214244,8.4,8.733333333333333,0.6,0.6238095238095239,351.1666666666667,367.93333333333334,27.933333333333334,11.0,189.56666666666666,58.733333333333334,0.5783333333333334,0.4216666666666667,0.0,0.0,0.5783333333333334,0.4216666666666667,0.0,0.0,0.54,0.46,0.0,0.0,0.54,0.46,0.0,0.0,0.5011111111111111,0.4988888888888889,0.0,0.0,0.48,0.52,0.0,0.0,0.04833333333333333,0.9516666666666667,0.0,1.0,0.6338888888888888,0.3661111111111111,1.0,0.0,0.6338888888888888,0.3661111111111111,1.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.6144444444444445,0.38555555555555554,0.0,0.0,0.6144444444444445,0.38555555555555554,0.0,0.0,0.0,1.0,0.0,1.0,0.6188888888888889,0.3811111111111111,0.0,0.0,0.755,0.245,1.0,0.0,0.755,0.245,1.0,0.0,org.apache.hadoop.mapred.LineRecordReader
org_apache_hadoop_yarn_server_nodemanager_executor_ContainerSignalContext,52.0,52.0,0.88135593220339,0.88135593220339,33.0,33.0,0.8918918918918917,0.8918918918918917,46.0,46.0,0.9787234042553192,0.9787234042553192,12.0,12.0,1.0,1.0,12.0,12.0,1.0,1.0,52.0,52.0,0.88135593220339,0.88135593220339,0.0,0.0,0.0,0.0,12.0,12.0,0.4800000000000001,0.4800000000000001,219.0,219.0,25.033333333333335,15.166666666666666,112.53333333333333,74.66666666666667,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,org.apache.hadoop.yarn.server.nodemanager.executor.ContainerSignalContext
org_apache_hadoop_yarn_client_api_impl_TimelineConnector,20.5,20.533333333333335,0.35344827586206906,0.3540229885057472,64.23333333333333,64.8,0.46211031175059963,0.4661870503597123,54.03333333333333,57.166666666666664,0.41886304909560734,0.4431524547803619,16.433333333333334,17.0,0.8649122807017543,0.8947368421052633,12.133333333333333,12.0,0.6385964912280702,0.631578947368421,20.266666666666666,19.033333333333335,0.3494252873563219,0.3281609195402299,10.466666666666667,10.5,0.9124087024087025,0.9100919450919454,7.1,7.166666666666667,0.35499999999999987,0.3583333333333333,205.16666666666666,208.2,22.166666666666668,9.9,78.16666666666667,37.266666666666666,0.5283333333333333,0.4716666666666667,0.0,0.0,0.5283333333333333,0.4716666666666667,0.0,0.0,0.12666666666666668,0.8733333333333333,0.0,1.0,0.12666666666666668,0.8733333333333333,0.0,1.0,0.5111111111111111,0.4888888888888889,0.0,0.0,0.5355555555555556,0.46444444444444444,0.0,0.0,0.0,1.0,0.0,1.0,0.5994444444444444,0.40055555555555555,0.0,0.0,0.5994444444444444,0.40055555555555555,0.0,0.0,0.7833333333333333,0.21666666666666667,1.0,0.0,0.7833333333333333,0.21666666666666667,1.0,0.0,0.43333333333333335,0.5666666666666667,0.0,1.0,0.43333333333333335,0.5666666666666667,0.0,1.0,0.5333333333333333,0.4666666666666667,0.0,0.0,0.5333333333333333,0.4666666666666667,0.0,0.0,0.0,1.0,0.0,1.0,0.6761111111111111,0.3238888888888889,1.0,0.0,0.6388888888888888,0.3611111111111111,0.0,0.0,0.6388888888888888,0.3611111111111111,0.0,0.0,org.apache.hadoop.yarn.client.api.impl.TimelineConnector
org_apache_hadoop_io_retry_AsyncCallHandler,30.866666666666667,31.5,0.3547892720306513,0.36206896551724127,52.56666666666667,52.36666666666667,0.43805555555555553,0.4363888888888888,48.833333333333336,48.7,0.33678160919540245,0.33586206896551735,18.1,18.866666666666667,0.8227272727272725,0.8575757575757575,15.0,14.966666666666667,0.6818181818181821,0.6803030303030305,30.666666666666668,30.233333333333334,0.35249042145593873,0.3475095785440613,1.9666666666666666,2.0,0.6555555555555557,0.6666666666666669,2.0,2.0,0.3333333333333334,0.3333333333333334,200.0,200.63333333333333,18.166666666666668,17.266666666666666,101.03333333333333,98.73333333333333,0.7294444444444445,0.27055555555555555,1.0,0.0,0.7294444444444445,0.27055555555555555,1.0,0.0,0.37166666666666665,0.6283333333333333,0.0,1.0,0.37166666666666665,0.6283333333333333,0.0,1.0,0.5166666666666667,0.48333333333333334,0.0,0.0,0.5166666666666667,0.48333333333333334,0.0,0.0,0.5394444444444444,0.46055555555555555,0.0,0.0,0.46555555555555556,0.5344444444444445,0.0,0.0,0.46555555555555556,0.5344444444444445,0.0,0.0,0.84,0.16,1.0,0.0,0.84,0.16,1.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.26944444444444443,0.7305555555555555,0.0,1.0,0.5244444444444445,0.47555555555555556,0.0,0.0,0.4638888888888889,0.5361111111111111,0.0,0.0,0.4638888888888889,0.5361111111111111,0.0,0.0,org.apache.hadoop.io.retry.AsyncCallHandler
org_apache_hadoop_util_bloom_DynamicBloomFilter,58.9,56.3,0.8924242424242423,0.853030303030303,353.53333333333336,357.1666666666667,0.81085626911315,0.8191896024464833,70.96666666666667,71.73333333333333,0.8870833333333331,0.8966666666666666,11.0,11.0,1.0,1.0,9.633333333333333,7.6,0.8757575757575757,0.6909090909090909,58.9,56.233333333333334,0.8924242424242423,0.852020202020202,23.633333333333333,22.5,0.9591486089382141,0.9546863734762283,3.0,3.0,0.6000000000000001,0.6000000000000001,589.5666666666667,585.5333333333333,47.733333333333334,24.133333333333333,193.53333333333333,95.3,0.36333333333333334,0.6366666666666667,0.0,0.0,0.36333333333333334,0.6366666666666667,0.0,0.0,0.3972222222222222,0.6027777777777777,0.0,0.0,0.3972222222222222,0.6027777777777777,0.0,0.0,0.28555555555555556,0.7144444444444444,0.0,1.0,0.30277777777777776,0.6972222222222222,0.0,1.0,0.03222222222222222,0.9677777777777777,0.0,1.0,0.5483333333333333,0.45166666666666666,0.0,0.0,0.5483333333333333,0.45166666666666666,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.05722222222222222,0.9427777777777778,0.0,1.0,0.05722222222222222,0.9427777777777778,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.4811111111111111,0.5188888888888888,0.0,0.0,0.6244444444444445,0.37555555555555553,0.0,0.0,0.6244444444444445,0.37555555555555553,0.0,0.0,org.apache.hadoop.util.bloom.DynamicBloomFilter
org_apache_hadoop_net_SocketIOWithTimeout,9.0,9.0,0.0927835051546392,0.0927835051546392,9.0,9.0,0.03585657370517928,0.03585657370517928,12.133333333333333,12.533333333333333,0.08253968253968254,0.0852607709750567,2.0,2.0,0.22222222222222224,0.22222222222222224,1.0,1.0,0.11111111111111112,0.11111111111111112,9.0,9.0,0.0927835051546392,0.0927835051546392,5.0,4.966666666666667,0.8333333333333331,0.828253968253968,0.0,0.0,0.0,0.0,47.13333333333333,47.5,7.766666666666667,5.0,19.633333333333333,13.133333333333333,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.4666666666666667,0.5333333333333333,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.06888888888888889,0.9311111111111111,0.0,1.0,0.55,0.45,0.0,0.0,0.55,0.45,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.5338888888888889,0.4661111111111111,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,org.apache.hadoop.net.SocketIOWithTimeout
org_apache_hadoop_yarn_api_protocolrecords_impl_pb_GetContainerStatusesResponsePBImpl,43.833333333333336,43.833333333333336,0.842948717948718,0.8429487179487182,34.0,34.0,1.0,1.0,96.26666666666667,96.93333333333334,0.8996884735202493,0.9059190031152649,10.0,10.0,1.0,1.0,10.0,10.0,1.0,1.0,43.833333333333336,44.03333333333333,0.842948717948718,0.8467948717948717,10.7,10.166666666666666,0.9137423687423689,0.9099222999223,15.133333333333333,14.766666666666667,0.6305555555555556,0.6152777777777777,263.76666666666665,263.73333333333335,25.666666666666668,14.166666666666666,109.26666666666667,52.93333333333333,0.4533333333333333,0.5466666666666666,0.0,0.0,0.4533333333333333,0.5466666666666666,0.0,0.0,0.4438888888888889,0.5561111111111111,0.0,0.0,0.4438888888888889,0.5561111111111111,0.0,0.0,0.37277777777777776,0.6272222222222222,0.0,0.0,0.37277777777777776,0.6272222222222222,0.0,0.0,0.0005555555555555556,0.9994444444444445,0.0,1.0,0.595,0.405,0.0,0.0,0.595,0.405,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.4166666666666667,0.5833333333333334,0.0,0.0,0.4166666666666667,0.5833333333333334,0.0,0.0,0.0,1.0,0.0,1.0,0.4066666666666667,0.5933333333333334,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,org.apache.hadoop.yarn.api.protocolrecords.impl.pb.GetContainerStatusesResponsePBImpl
