class_name,BranchCoverageGoals-smart selection,BranchCoverageGoals-constituent criterion,BranchCoverage-smart selection,BranchCoverage-constituent criterion,WeakMutationCoverageGoals-smart selection,WeakMutationCoverageGoals-constituent criterion,WeakMutationCoverage-smart selection,WeakMutationCoverage-constituent criterion,LineCoverageGoals-smart selection,LineCoverageGoals-constituent criterion,LineCoverage-smart selection,LineCoverage-constituent criterion,MethodCoverageGoals-smart selection,MethodCoverageGoals-constituent criterion,MethodCoverage-smart selection,MethodCoverage-constituent criterion,MethodNoExceptionCoverageGoals-smart selection,MethodNoExceptionCoverageGoals-constituent criterion,MethodNoExceptionCoverage-smart selection,MethodNoExceptionCoverage-constituent criterion,CBranchCoverageGoals-smart selection,CBranchCoverageGoals-constituent criterion,CBranchCoverage-smart selection,CBranchCoverage-constituent criterion,ExceptionCoverageGoals-smart selection,ExceptionCoverageGoals-constituent criterion,ExceptionCoverage-smart selection,ExceptionCoverage-constituent criterion,OutputCoverageGoals-smart selection,OutputCoverageGoals-constituent criterion,OutputCoverage-smart selection,OutputCoverage-constituent criterion,Total_Covered_Goals-smart selection,Total_Covered_Goals-constituent criterion,Size-smart selection,Size-constituent criterion,Length-smart selection,Length-constituent criterion,BranchCoverage-p-constituent criterion-smart selection,BranchCoverage-p-smart selection-constituent criterion,BranchCoverage-s-constituent criterion-smart selection,BranchCoverage-s-smart selection-constituent criterion,BranchCoverageGoals-p-constituent criterion-smart selection,BranchCoverageGoals-p-smart selection-constituent criterion,BranchCoverageGoals-s-constituent criterion-smart selection,BranchCoverageGoals-s-smart selection-constituent criterion,CBranchCoverage-p-constituent criterion-smart selection,CBranchCoverage-p-smart selection-constituent criterion,CBranchCoverage-s-constituent criterion-smart selection,CBranchCoverage-s-smart selection-constituent criterion,CBranchCoverageGoals-p-constituent criterion-smart selection,CBranchCoverageGoals-p-smart selection-constituent criterion,CBranchCoverageGoals-s-constituent criterion-smart selection,CBranchCoverageGoals-s-smart selection-constituent criterion,ExceptionCoverage-p-constituent criterion-smart selection,ExceptionCoverage-p-smart selection-constituent criterion,ExceptionCoverage-s-constituent criterion-smart selection,ExceptionCoverage-s-smart selection-constituent criterion,ExceptionCoverageGoals-p-constituent criterion-smart selection,ExceptionCoverageGoals-p-smart selection-constituent criterion,ExceptionCoverageGoals-s-constituent criterion-smart selection,ExceptionCoverageGoals-s-smart selection-constituent criterion,Length-p-constituent criterion-smart selection,Length-p-smart selection-constituent criterion,Length-s-constituent criterion-smart selection,Length-s-smart selection-constituent criterion,LineCoverage-p-constituent criterion-smart selection,LineCoverage-p-smart selection-constituent criterion,LineCoverage-s-constituent criterion-smart selection,LineCoverage-s-smart selection-constituent criterion,LineCoverageGoals-p-constituent criterion-smart selection,LineCoverageGoals-p-smart selection-constituent criterion,LineCoverageGoals-s-constituent criterion-smart selection,LineCoverageGoals-s-smart selection-constituent criterion,MethodCoverage-p-constituent criterion-smart selection,MethodCoverage-p-smart selection-constituent criterion,MethodCoverage-s-constituent criterion-smart selection,MethodCoverage-s-smart selection-constituent criterion,MethodCoverageGoals-p-constituent criterion-smart selection,MethodCoverageGoals-p-smart selection-constituent criterion,MethodCoverageGoals-s-constituent criterion-smart selection,MethodCoverageGoals-s-smart selection-constituent criterion,MethodNoExceptionCoverage-p-constituent criterion-smart selection,MethodNoExceptionCoverage-p-smart selection-constituent criterion,MethodNoExceptionCoverage-s-constituent criterion-smart selection,MethodNoExceptionCoverage-s-smart selection-constituent criterion,MethodNoExceptionCoverageGoals-p-constituent criterion-smart selection,MethodNoExceptionCoverageGoals-p-smart selection-constituent criterion,MethodNoExceptionCoverageGoals-s-constituent criterion-smart selection,MethodNoExceptionCoverageGoals-s-smart selection-constituent criterion,OutputCoverage-p-constituent criterion-smart selection,OutputCoverage-p-smart selection-constituent criterion,OutputCoverage-s-constituent criterion-smart selection,OutputCoverage-s-smart selection-constituent criterion,OutputCoverageGoals-p-constituent criterion-smart selection,OutputCoverageGoals-p-smart selection-constituent criterion,OutputCoverageGoals-s-constituent criterion-smart selection,OutputCoverageGoals-s-smart selection-constituent criterion,Size-p-constituent criterion-smart selection,Size-p-smart selection-constituent criterion,Size-s-constituent criterion-smart selection,Size-s-smart selection-constituent criterion,Total_Covered_Goals-p-constituent criterion-smart selection,Total_Covered_Goals-p-smart selection-constituent criterion,Total_Covered_Goals-s-constituent criterion-smart selection,Total_Covered_Goals-s-smart selection-constituent criterion,WeakMutationCoverage-p-constituent criterion-smart selection,WeakMutationCoverage-p-smart selection-constituent criterion,WeakMutationCoverage-s-constituent criterion-smart selection,WeakMutationCoverage-s-smart selection-constituent criterion,WeakMutationCoverageGoals-p-constituent criterion-smart selection,WeakMutationCoverageGoals-p-smart selection-constituent criterion,WeakMutationCoverageGoals-s-constituent criterion-smart selection,WeakMutationCoverageGoals-s-smart selection-constituent criterion,class
org_apache_hadoop_thirdparty_com_google_common_collect_Cut,27.366666666666667,29.0,0.2631410256410257,0.2788461538461539,38.96666666666667,44.0,0.3168021680216801,0.3577235772357723,32.4,34.0,0.29999999999999993,0.3148148148148148,8.0,7.933333333333334,0.14814814814814808,0.14691358024691353,8.0,8.0,0.14814814814814808,0.14814814814814808,26.966666666666665,26.833333333333332,0.2592948717948719,0.2580128205128206,5.0,5.0,0.8333333333333331,0.8333333333333331,10.0,10.0,0.5882352941176471,0.5882352941176471,156.7,164.76666666666668,18.6,14.2,52.53333333333333,43.86666666666667,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.43333333333333335,0.5666666666666667,0.0,0.0,0.43333333333333335,0.5666666666666667,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.013888888888888888,0.9861111111111112,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4666666666666667,0.5333333333333333,0.0,0.0,0.4666666666666667,0.5333333333333333,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,org.apache.hadoop.thirdparty.com.google.common.collect.Cut
org_apache_hadoop_yarn_server_resourcemanager_scheduler_QueueMetrics,16.133333333333333,20.566666666666666,0.05601851851851853,0.07141203703703702,100.23333333333333,95.6,0.19966799468791496,0.19043824701195217,48.03333333333333,46.46666666666667,0.09492753623188402,0.09183135704874833,8.0,8.0,0.08695652173913042,0.08695652173913042,6.3,4.966666666666667,0.06847826086956522,0.05398550724637682,18.866666666666667,16.3,0.06550925925925927,0.056597222222222215,11.766666666666667,10.933333333333334,0.8792633740214387,0.7370231771602849,7.533333333333333,5.366666666666666,0.026432748538011704,0.018830409356725152,216.86666666666667,208.2,19.166666666666668,7.033333333333333,57.96666666666667,14.366666666666667,0.58,0.42,0.0,0.0,0.58,0.42,0.0,0.0,0.58,0.42,0.0,0.0,0.58,0.42,0.0,0.0,0.3227777777777778,0.6772222222222222,0.0,1.0,0.4211111111111111,0.5788888888888889,0.0,0.0,0.03222222222222222,0.9677777777777777,0.0,1.0,0.4027777777777778,0.5972222222222222,0.0,1.0,0.4027777777777778,0.5972222222222222,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.4672222222222222,0.5327777777777778,0.0,0.0,0.4672222222222222,0.5327777777777778,0.0,0.0,0.45111111111111113,0.5488888888888889,0.0,0.0,0.45111111111111113,0.5488888888888889,0.0,0.0,0.03222222222222222,0.9677777777777777,0.0,1.0,0.37833333333333335,0.6216666666666667,0.0,0.0,0.41888888888888887,0.5811111111111111,0.0,1.0,0.41888888888888887,0.5811111111111111,0.0,1.0,org.apache.hadoop.yarn.server.resourcemanager.scheduler.QueueMetrics
org_apache_hadoop_yarn_server_nodemanager_containermanager_localizer_LocalResourceRequest,58.0,58.0,1.0,1.0,112.96666666666667,114.96666666666667,0.9738505747126437,0.9910919540229889,70.0,70.0,1.0,1.0,21.0,20.9,1.0,0.9952380952380953,12.966666666666667,13.0,0.6174603174603176,0.6190476190476192,58.0,57.2,1.0,0.9862068965517241,15.0,13.133333333333333,0.8856209150326797,0.8935045428427782,18.566666666666666,19.033333333333335,0.6876543209876544,0.7049382716049382,366.5,366.23333333333335,48.7,28.433333333333334,271.96666666666664,179.63333333333333,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.4666666666666667,0.5333333333333333,0.0,0.0,0.4666666666666667,0.5333333333333333,0.0,0.0,0.48,0.52,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.45,0.55,0.0,0.0,0.45,0.55,0.0,0.0,0.5166666666666667,0.48333333333333334,0.0,0.0,0.5166666666666667,0.48333333333333334,0.0,0.0,0.6522222222222223,0.3477777777777778,1.0,0.0,0.6522222222222223,0.3477777777777778,1.0,0.0,0.0,1.0,0.0,1.0,0.5805555555555556,0.41944444444444445,0.0,0.0,0.9766666666666667,0.023333333333333334,1.0,0.0,0.9766666666666667,0.023333333333333334,1.0,0.0,org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.LocalResourceRequest
org_apache_hadoop_yarn_server_resourcemanager_RMAppManager,16.133333333333333,16.2,0.08359240069084625,0.08393782383419686,56.46666666666667,56.86666666666667,0.13839869281045747,0.13937908496732027,53.43333333333333,51.56666666666667,0.11466380543633764,0.11065808297567954,3.3,3.1333333333333333,0.7666666666666667,0.8962962962962963,2.0,2.0,0.6666666666666669,0.6666666666666669,16.133333333333333,15.933333333333334,0.08359240069084625,0.08255613126079445,0.7666666666666667,1.2,0.13499999999999998,0.18595238095238098,0.0,0.0,0.0,0.0,148.23333333333332,146.9,9.733333333333333,8.233333333333333,28.866666666666667,24.266666666666666,0.5511111111111111,0.4488888888888889,0.0,0.0,0.5511111111111111,0.4488888888888889,0.0,0.0,0.4222222222222222,0.5777777777777777,0.0,0.0,0.4222222222222222,0.5777777777777777,0.0,0.0,0.5505555555555556,0.4494444444444444,0.0,0.0,0.5538888888888889,0.4461111111111111,0.0,0.0,0.16333333333333333,0.8366666666666667,0.0,1.0,0.27055555555555555,0.7294444444444445,0.0,1.0,0.27055555555555555,0.7294444444444445,0.0,1.0,0.5833333333333334,0.4166666666666667,0.0,0.0,0.4166666666666667,0.5833333333333334,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.13166666666666665,0.8683333333333333,0.0,1.0,0.49722222222222223,0.5027777777777778,0.0,0.0,0.44277777777777777,0.5572222222222222,0.0,0.0,0.44277777777777777,0.5572222222222222,0.0,0.0,org.apache.hadoop.yarn.server.resourcemanager.RMAppManager
org_apache_hadoop_ha_ZKFailoverController,17.0,16.8,0.10897435897435899,0.1076923076923077,40.0,41.6,0.06920415224913495,0.07197231833910035,49.93333333333333,50.0,0.1260942760942761,0.12626262626262627,11.0,10.966666666666667,1.0,0.996969696969697,7.0,7.0,0.6363636363636365,0.6363636363636365,16.0,16.0,0.10256410256410259,0.10256410256410259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.93333333333334,142.36666666666667,8.0,7.866666666666666,27.3,26.733333333333334,0.43333333333333335,0.5666666666666667,0.0,1.0,0.43333333333333335,0.5666666666666667,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.43944444444444447,0.5605555555555556,0.0,0.0,0.5333333333333333,0.4666666666666667,0.0,0.0,0.5333333333333333,0.4666666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.43333333333333335,0.5666666666666667,0.0,1.0,0.8755555555555555,0.12444444444444444,1.0,0.0,0.9,0.1,1.0,0.0,0.9,0.1,1.0,0.0,org.apache.hadoop.ha.ZKFailoverController
org_apache_hadoop_yarn_api_protocolrecords_impl_pb_IncreaseContainersResourceResponsePBImpl,45.833333333333336,45.63333333333333,0.8487654320987655,0.8450617283950616,33.0,32.96666666666667,1.0,0.998989898989899,95.56666666666666,96.4,0.9015723270440253,0.909433962264151,10.0,9.966666666666667,1.0,0.9966666666666666,10.0,9.966666666666667,1.0,0.9966666666666666,45.833333333333336,45.46666666666667,0.8487654320987655,0.8419753086419753,11.166666666666666,10.8,0.9173210123210125,0.9122427572427573,14.3,13.966666666666667,0.5958333333333333,0.5819444444444444,265.7,265.1666666666667,24.966666666666665,13.866666666666667,96.4,46.333333333333336,0.47444444444444445,0.5255555555555556,0.0,0.0,0.47444444444444445,0.5255555555555556,0.0,0.0,0.4538888888888889,0.5461111111111111,0.0,0.0,0.4538888888888889,0.5461111111111111,0.0,0.0,0.37777777777777777,0.6222222222222222,0.0,0.0,0.38166666666666665,0.6183333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.5683333333333334,0.43166666666666664,0.0,0.0,0.5683333333333334,0.43166666666666664,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.42277777777777775,0.5772222222222222,0.0,0.0,0.42277777777777775,0.5772222222222222,0.0,0.0,0.0,1.0,0.0,1.0,0.48777777777777775,0.5122222222222222,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,org.apache.hadoop.yarn.api.protocolrecords.impl.pb.IncreaseContainersResourceResponsePBImpl
org_apache_hadoop_yarn_server_resourcemanager_nodelabels_RMNodeLabelsManager,36.833333333333336,36.13333333333333,0.22877846790890263,0.22443064182194616,81.86666666666666,81.16666666666667,0.24959349593495936,0.24745934959349597,106.6,106.53333333333333,0.3753521126760563,0.37511737089201874,18.633333333333333,20.366666666666667,0.8873015873015874,0.9698412698412698,8.9,8.366666666666667,0.42380952380952386,0.3984126984126985,36.833333333333336,36.766666666666666,0.22877846790890263,0.2283643892339544,20.533333333333335,20.0,0.9533934171176733,0.950836742713173,5.9,5.666666666666667,0.2565217391304348,0.24637681159420294,316.1,315.0,32.36666666666667,20.566666666666666,86.16666666666667,50.1,0.4011111111111111,0.5988888888888889,0.0,0.0,0.4011111111111111,0.5988888888888889,0.0,0.0,0.5155555555555555,0.48444444444444446,0.0,0.0,0.5155555555555555,0.48444444444444446,0.0,0.0,0.34555555555555556,0.6544444444444445,0.0,1.0,0.35555555555555557,0.6444444444444445,0.0,1.0,0.0,1.0,0.0,1.0,0.4988888888888889,0.5011111111111111,0.0,0.0,0.4988888888888889,0.5011111111111111,0.0,0.0,0.885,0.115,1.0,0.0,0.885,0.115,1.0,0.0,0.24833333333333332,0.7516666666666667,0.0,1.0,0.24833333333333332,0.7516666666666667,0.0,1.0,0.3983333333333333,0.6016666666666667,0.0,1.0,0.3983333333333333,0.6016666666666667,0.0,1.0,0.0,1.0,0.0,1.0,0.46555555555555556,0.5344444444444445,0.0,0.0,0.5316666666666666,0.4683333333333333,0.0,0.0,0.5316666666666666,0.4683333333333333,0.0,0.0,org.apache.hadoop.yarn.server.resourcemanager.nodelabels.RMNodeLabelsManager
org_apache_hadoop_io_WritableUtils,79.7,84.63333333333334,0.8132653061224488,0.8636054421768707,683.3,681.1333333333333,0.8498756218905471,0.8471807628524046,141.86666666666667,145.06666666666666,0.8495009980039921,0.8686626746506988,27.133333333333333,27.733333333333334,0.9690476190476193,0.9904761904761904,22.6,18.133333333333333,0.8071428571428572,0.6476190476190476,76.76666666666667,79.56666666666666,0.7833333333333333,0.8119047619047618,55.8,53.1,0.9781616401502209,0.9812876124096821,21.033333333333335,21.4,0.4381944444444444,0.4458333333333334,1108.2,1110.7666666666667,102.16666666666667,31.833333333333332,432.0,112.33333333333333,0.6344444444444445,0.3655555555555556,0.0,0.0,0.6344444444444445,0.3655555555555556,0.0,0.0,0.5133333333333333,0.4866666666666667,0.0,0.0,0.5133333333333333,0.4866666666666667,0.0,0.0,0.4661111111111111,0.5338888888888889,0.0,0.0,0.30722222222222223,0.6927777777777778,0.0,1.0,0.0033333333333333335,0.9966666666666667,0.0,1.0,0.5105555555555555,0.48944444444444446,0.0,0.0,0.5105555555555555,0.48944444444444446,0.0,0.0,0.6138888888888889,0.3861111111111111,0.0,0.0,0.6138888888888889,0.3861111111111111,0.0,0.0,0.15666666666666668,0.8433333333333334,0.0,1.0,0.15666666666666668,0.8433333333333334,0.0,1.0,0.41888888888888887,0.5811111111111111,0.0,0.0,0.41888888888888887,0.5811111111111111,0.0,0.0,0.0,1.0,0.0,1.0,0.34444444444444444,0.6555555555555556,0.0,1.0,0.5333333333333333,0.4666666666666667,0.0,0.0,0.5333333333333333,0.4666666666666667,0.0,0.0,org.apache.hadoop.io.WritableUtils
org_apache_hadoop_mapred_LineRecordReader,26.9,27.466666666666665,0.46379310344827585,0.4735632183908046,188.13333333333333,197.3,0.7153358681875794,0.7501901140684413,68.53333333333333,69.23333333333333,0.5759103641456582,0.5817927170868348,12.0,12.0,1.0,1.0,9.933333333333334,10.0,0.8277777777777776,0.8333333333333331,25.866666666666667,26.1,0.44597701149425284,0.44999999999999996,14.466666666666667,15.266666666666667,0.9346703595968303,0.93497539569134,8.733333333333333,8.766666666666667,0.6238095238095238,0.6261904761904762,354.56666666666666,366.1333333333333,27.8,11.0,155.96666666666667,42.4,0.6,0.4,0.0,0.0,0.6,0.4,0.0,0.0,0.5827777777777777,0.4172222222222222,0.0,0.0,0.5827777777777777,0.4172222222222222,0.0,0.0,0.5988888888888889,0.4011111111111111,0.0,0.0,0.6316666666666667,0.36833333333333335,0.0,0.0,0.0,1.0,0.0,1.0,0.4961111111111111,0.5038888888888889,0.0,0.0,0.4961111111111111,0.5038888888888889,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5166666666666667,0.48333333333333334,0.0,0.0,0.5166666666666667,0.48333333333333334,0.0,0.0,0.5155555555555555,0.48444444444444446,0.0,0.0,0.5155555555555555,0.48444444444444446,0.0,0.0,0.0,1.0,0.0,1.0,0.7894444444444444,0.21055555555555555,1.0,0.0,0.9033333333333333,0.09666666666666666,1.0,0.0,0.9033333333333333,0.09666666666666666,1.0,0.0,org.apache.hadoop.mapred.LineRecordReader
org_apache_hadoop_yarn_server_nodemanager_executor_ContainerSignalContext,52.0,50.7,0.88135593220339,0.8593220338983052,33.0,33.0,0.8918918918918917,0.8918918918918917,46.0,46.0,0.9787234042553192,0.9787234042553192,12.0,12.0,1.0,1.0,12.0,12.0,1.0,1.0,52.0,52.0,0.88135593220339,0.88135593220339,0.0,0.0,0.0,0.0,12.0,11.9,0.4800000000000001,0.47600000000000003,219.0,217.6,25.0,14.1,111.0,68.03333333333333,0.16666666666666666,0.8333333333333334,0.0,1.0,0.16666666666666666,0.8333333333333334,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.45,0.55,0.0,0.0,0.45,0.55,0.0,0.0,0.0,1.0,0.0,1.0,0.16666666666666666,0.8333333333333334,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,org.apache.hadoop.yarn.server.nodemanager.executor.ContainerSignalContext
org_apache_hadoop_yarn_client_api_impl_TimelineConnector,20.233333333333334,20.166666666666668,0.3488505747126437,0.34770114942528735,63.733333333333334,65.2,0.4585131894484414,0.46906474820143884,53.2,52.766666666666666,0.41240310077519393,0.40904392764857894,15.766666666666667,16.8,0.8298245614035087,0.8842105263157897,12.1,11.666666666666666,0.6368421052631579,0.6140350877192982,20.033333333333335,19.1,0.3454022988505748,0.3293103448275862,10.466666666666667,10.8,0.9125252525252527,0.9127622377622379,7.133333333333334,7.233333333333333,0.3566666666666666,0.3616666666666666,202.66666666666666,203.73333333333332,21.633333333333333,9.833333333333334,69.96666666666667,33.86666666666667,0.5211111111111111,0.47888888888888886,0.0,0.0,0.5211111111111111,0.47888888888888886,0.0,0.0,0.2477777777777778,0.7522222222222222,0.0,1.0,0.2477777777777778,0.7522222222222222,0.0,1.0,0.6088888888888889,0.39111111111111113,0.0,0.0,0.6333333333333333,0.36666666666666664,1.0,0.0,0.0,1.0,0.0,1.0,0.43444444444444447,0.5655555555555556,0.0,0.0,0.43444444444444447,0.5655555555555556,0.0,0.0,0.9155555555555556,0.08444444444444445,1.0,0.0,0.9155555555555556,0.08444444444444445,1.0,0.0,0.36,0.64,0.0,1.0,0.36,0.64,0.0,1.0,0.55,0.45,0.0,0.0,0.55,0.45,0.0,0.0,0.0,1.0,0.0,1.0,0.6561111111111111,0.3438888888888889,1.0,0.0,0.8377777777777777,0.1622222222222222,1.0,0.0,0.8377777777777777,0.1622222222222222,1.0,0.0,org.apache.hadoop.yarn.client.api.impl.TimelineConnector
org_apache_hadoop_io_retry_AsyncCallHandler,29.766666666666666,30.633333333333333,0.3421455938697318,0.35210727969348654,51.1,52.766666666666666,0.42583333333333334,0.4397222222222222,47.96666666666667,48.333333333333336,0.3308045977011495,0.3333333333333334,17.466666666666665,17.8,0.7939393939393937,0.809090909090909,14.9,14.733333333333333,0.6772727272727276,0.6696969696969699,29.766666666666666,29.666666666666668,0.3421455938697318,0.3409961685823755,1.8666666666666667,1.9,0.6444444444444446,0.6500000000000001,2.0,2.0,0.3333333333333334,0.3333333333333334,194.83333333333334,197.83333333333334,18.033333333333335,16.966666666666665,62.5,53.9,0.7083333333333334,0.2916666666666667,1.0,0.0,0.7083333333333334,0.2916666666666667,1.0,0.0,0.45,0.55,0.0,0.0,0.45,0.55,0.0,0.0,0.5166666666666667,0.48333333333333334,0.0,0.0,0.5166666666666667,0.48333333333333334,0.0,0.0,0.515,0.485,0.0,0.0,0.5605555555555556,0.43944444444444447,0.0,0.0,0.5605555555555556,0.43944444444444447,0.0,0.0,0.6044444444444445,0.39555555555555555,0.0,0.0,0.6044444444444445,0.39555555555555555,0.0,0.0,0.43166666666666664,0.5683333333333334,0.0,0.0,0.43166666666666664,0.5683333333333334,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.26944444444444443,0.7305555555555555,0.0,1.0,0.5616666666666666,0.43833333333333335,0.0,0.0,0.7883333333333333,0.21166666666666667,1.0,0.0,0.7883333333333333,0.21166666666666667,1.0,0.0,org.apache.hadoop.io.retry.AsyncCallHandler
org_apache_hadoop_util_bloom_DynamicBloomFilter,61.53333333333333,55.86666666666667,0.9323232323232323,0.8464646464646465,366.4,389.3333333333333,0.8403669724770642,0.892966360856269,73.46666666666667,62.93333333333333,0.918333333333333,0.7866666666666665,11.0,10.966666666666667,1.0,0.996969696969697,10.1,7.533333333333333,0.9181818181818183,0.6848484848484849,61.53333333333333,58.8,0.9323232323232323,0.8909090909090908,24.366666666666667,22.133333333333333,0.9604000920230304,0.9553409593626981,3.0,3.0,0.6000000000000001,0.6000000000000001,611.4,610.5666666666667,51.13333333333333,25.0,176.33333333333334,80.83333333333333,0.42055555555555557,0.5794444444444444,0.0,0.0,0.42055555555555557,0.5794444444444444,0.0,0.0,0.5255555555555556,0.47444444444444445,0.0,0.0,0.5255555555555556,0.47444444444444445,0.0,0.0,0.1688888888888889,0.8311111111111111,0.0,1.0,0.18944444444444444,0.8105555555555556,0.0,1.0,0.0,1.0,0.0,1.0,0.030555555555555555,0.9694444444444444,0.0,1.0,0.030555555555555555,0.9694444444444444,0.0,1.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.045,0.955,0.0,1.0,0.045,0.955,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.5188888888888888,0.4811111111111111,0.0,0.0,0.9066666666666666,0.09333333333333334,1.0,0.0,0.9066666666666666,0.09333333333333334,1.0,0.0,org.apache.hadoop.util.bloom.DynamicBloomFilter
org_apache_hadoop_net_SocketIOWithTimeout,9.0,8.933333333333334,0.0927835051546392,0.09209621993127151,9.0,9.0,0.03585657370517928,0.03585657370517928,12.0,13.866666666666667,0.08163265306122451,0.0943310657596372,2.0,2.0,0.22222222222222224,0.22222222222222224,1.0,1.0,0.11111111111111112,0.11111111111111112,9.0,9.0,0.0927835051546392,0.0927835051546392,5.0,5.0,0.8333333333333331,0.8333333333333331,0.0,0.0,0.0,0.0,47.0,48.8,7.666666666666667,4.966666666666667,18.566666666666666,10.6,0.48333333333333334,0.5166666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.7333333333333333,0.26666666666666666,1.0,0.0,0.7333333333333333,0.26666666666666666,1.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.7166666666666667,0.2833333333333333,1.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,org.apache.hadoop.net.SocketIOWithTimeout
org_apache_hadoop_yarn_api_protocolrecords_impl_pb_GetContainerStatusesResponsePBImpl,43.5,43.43333333333333,0.8365384615384615,0.8352564102564102,34.0,33.93333333333333,1.0,0.9980392156862745,95.83333333333333,96.83333333333333,0.8956386292834891,0.9049844236760124,10.0,10.0,1.0,1.0,10.0,10.0,1.0,1.0,43.5,43.5,0.8365384615384615,0.8365384615384615,9.9,9.766666666666667,0.9075317275317276,0.9061175861175862,14.5,14.333333333333334,0.6041666666666667,0.5972222222222222,261.23333333333335,261.8,24.066666666666666,14.866666666666667,92.7,49.3,0.4683333333333333,0.5316666666666666,0.0,0.0,0.4683333333333333,0.5316666666666666,0.0,0.0,0.4955555555555556,0.5044444444444445,0.0,0.0,0.4955555555555556,0.5044444444444445,0.0,0.0,0.4683333333333333,0.5316666666666666,0.0,0.0,0.4683333333333333,0.5316666666666666,0.0,0.0,0.0,1.0,0.0,1.0,0.61,0.39,0.0,0.0,0.61,0.39,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.4677777777777778,0.5322222222222223,0.0,0.0,0.4677777777777778,0.5322222222222223,0.0,0.0,0.0,1.0,0.0,1.0,0.525,0.475,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,0.48333333333333334,0.5166666666666667,0.0,0.0,org.apache.hadoop.yarn.api.protocolrecords.impl.pb.GetContainerStatusesResponsePBImpl
