approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.5518073369299245,0.5660687408673832,0.5816428850607523,0.8220462615788816,0.6980362019340768,0.5484686055849485,37.92261904761905,0.4417143031365366
original combination,0.5535445470588675,0.5676360185914656,0.5833789635230515,0.8176392405209946,0.6915157924173699,0.5464721428971236,37.49759036144578,0.4362994021906773
constituent criterion,0.5557693680576573,0.5752324434234407,0.5847653735591701,0.7983989914812711,0.6787385435644852,0.5601697441654656,35.403614457831324,0.44839339381280974
